Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Ppp2r1a	171.17	138.19	134.91	126.67	86.47	112.7	225.68	223.27	133.19	191.69	118.85	169.7	170.56	197.64	179.09	198.55	114.91	109.54	117.44	102.83	78.92	109.96	101.77	86.12	100.54	119.17	90.02	83.06	102.94	107.16	112.57	103.8	96.07	125.64	103.05	132.46	123.85
Ppp2r1a	0.63	1.04	0.73	0.44	0	0.28	4.36	0	1.82	0	0.45	0	2.89	0	0	0	1.79	2.01	1.1	0	1.77	1.12	0.78	0.61	1.31	0	0	2.05	0	2.36	0.35	0	0.51	1.03	0	1.58	0.88
Zfp53	5.35	14.77	12.61	19.09	39.31	8.88	4.99	9.97	8.48	15.01	25.12	19.58	20.24	29.65	23.77	15.04	24.89	23.74	24.5	26.17	21.28	19.61	28.96	31.76	20.55	22.96	14.5	16.2	21.84	17	11.71	21.57	18.5	15	15.61	17.74	13.09
Zfp53	0	0.3	0.42	0.44	0	0.28	0	0	0.61	1.15	0.45	0	0	0	0	0	0.36	0.25	0.28	0.93	0	0.49	0	0	0.21	0.55	0.6	0.18	0.78	0.47	0.35	0	0	0.23	0	0	0.44
Zfp53	0	0.15	0.31	0.11	0	0.28	0	0	0	0	0	2.18	0	0	0.85	0	0.24	0.38	0.46	0.93	0.89	0.28	0	1.83	0.55	0	0.6	0.53	0	0.47	0.59	0	0.51	0.34	0	0	0.44
Zfp53	0	0.3	0.31	0	0	0.28	0	0	0	0	0	1.09	0	0	0	0	0.12	0.13	0.09	0	0	0.14	0	0	0	0.55	0	0.18	0	0	0.24	0	0	0	0	0.39	0
Zfp53	0	0.75	0.21	0.11	0	0.28	0	0	0.61	0	0.45	0	1.45	0	0	0	0.24	0.13	0.73	0	0	0	2.35	0.61	0.41	1.09	0	0.53	0	0	0.24	0	0	0.23	1.56	0.39	0
uc008ark.1	2.1	2.09	4.9	6.76	7.86	3.61	3.74	7.97	3.63	5.77	3.14	5.44	8.67	6.59	1.7	12.03	9.65	12.56	9.54	6.54	8.87	8.82	7.05	6.72	8.83	8.2	6.04	6.41	6.24	4.25	5.91	6.74	6.17	5.96	9.37	4.34	4.27
Hcfc1r1	10.91	5.82	4.58	11.89	0	5.83	15.59	13.95	6.66	10.39	12.56	10.88	8.67	26.35	5.09	36.1	5.83	7.54	6.97	13.09	7.98	8.19	9.39	6.11	7.31	14.76	6.65	9.7	13.26	10.39	6.86	6.74	9.76	10.65	15.61	9.07	10.59
Hcfc1r1	281.47	187.28	266.59	377.72	31.44	192.51	234.41	203.34	142.88	202.09	294.65	437.31	193.69	507.27	207.1	610.68	293.29	305.5	280.2	238.37	385.72	315.59	278.68	393.33	307.48	271.14	374.56	274.55	279.96	398.45	203.38	245.35	271.78	228.38	293.54	281.48	201.22
Tnfrsf12a	15.11	1.04	0.83	0.87	0	7.77	43.02	43.86	195.55	8.08	24.22	6.53	70.83	0	53.47	0	4.52	4.27	3.39	1.87	0.89	3.64	3.91	0	4.14	6.01	4.23	5.25	4.68	2.83	6.74	5.39	7.19	10.19	6.25	4.34	16.18
Tnfrsf12a	0.73	0.15	0.1	0	0	1.25	0.62	0	0.61	0	1.79	0	0	0	1.7	3.01	0	0	0.28	0	0	0.14	0	0.61	0.28	0	0.6	0.09	0	0	0.24	0	0	0.23	0	0	0.44
Kctd5	33.27	30.59	23.96	19.53	0	24.71	26.18	17.94	50.85	16.17	21.08	11.97	30.35	23.06	31.4	6.02	17.39	18.72	14.13	20.57	18.62	20.66	18	21.99	19.03	16.95	16.31	27.51	10.92	16.52	24.48	20.22	24.15	26.23	20.3	17.35	25.89
Kctd5	3.04	4.33	3.85	2.4	0	2.5	2.49	0	2.42	4.62	1.79	4.35	2.89	3.29	2.55	0	2.26	2.14	2.11	1.87	2.66	2.31	1.57	1.83	1.52	3.28	0.6	2.58	3.12	3.78	1.89	0	1.03	2.63	1.56	1.97	1.91
Abca3	0.31	0.3	0.52	0.76	0	0.56	0.62	0	0.61	0	0.45	2.18	0	0	0	0	0.6	0.13	0.64	0	0	0.63	0	0.61	0.41	0.55	0	0.45	0	0.94	0.35	2.7	0	0.57	1.56	0.39	0
Abca3	0.63	2.39	2.08	1.75	0	3.61	0	3.99	0.61	3.46	2.69	3.26	0	0	3.4	0	2.62	2.89	1.56	2.8	2.66	1.12	1.57	3.05	1.79	0.55	3.62	1.87	1.56	1.89	1.89	2.7	2.06	1.72	1.56	1.18	1.03
Abca3	0.42	0.45	0.42	0.55	0	0.14	0	1.99	0	0	0	1.09	0	0	0	0	0.24	0.25	0.18	0.93	0.89	0.49	0	0	0.34	0	0.6	0.62	0.78	0.47	0.35	0	0	0.34	1.56	0	0.29
Abca3	47.12	64.77	71.47	67.32	39.31	49.97	66.71	85.72	52.07	100.47	114.36	117.49	63.6	151.52	72.99	123.34	87.88	97.6	122.94	105.63	117.93	106.53	92.37	112.99	101.51	119.72	135.33	82.44	123.99	103.39	81.47	130.76	70.38	83.61	104.61	91.46	72.66
Eci1	11.75	9.85	15.94	22.37	15.72	24.01	11.84	5.98	9.08	23.1	21.98	32.64	36.14	13.18	15.28	36.1	20.96	22.61	28.72	29.91	18.62	21.64	20.35	28.1	24.27	20.23	14.5	19.05	22.61	21.24	28.02	14.83	20.04	26.57	20.3	19.71	26.92
E4f1	2.2	1.34	1.25	0.55	0	1.53	1.25	0	1.21	0	2.69	0	0	0	0	0	1.79	1.26	1.47	0	2.66	1.68	3.13	1.22	2.21	1.64	1.21	2.23	2.34	0	2.13	0	0.51	2.63	0	0.39	1.32
E4f1	6.72	4.33	4.27	4.91	0	7.77	2.49	0	6.66	6.93	5.83	4.35	8.67	3.29	5.09	3.01	9.76	7.79	7.98	10.28	9.75	7.91	11.74	8.55	8.62	6.01	7.25	8.01	10.14	7.08	9.81	6.74	6.68	8.02	9.37	7.49	7.21
Pkd1	0.52	1.49	1.04	1.53	0	1.67	0	0	1.82	0	2.69	1.09	1.45	0	0	0	1.79	1.26	1.01	0	0.89	2.31	0.78	0.61	2.07	1.09	1.21	1.25	0	0.47	1.18	0	2.57	1.83	3.12	2.37	0.59
Pkd1	6.51	9.55	9.06	8.73	15.72	12.63	6.86	1.99	7.87	11.55	13.45	9.79	5.78	3.29	16.98	15.04	16.31	15.45	11.56	13.09	16.85	19.05	10.96	13.44	22.14	8.75	13.29	23.68	10.92	13.22	16.55	22.92	14.9	16.49	7.81	12.62	14.56
Pkd1	3.88	5.37	6.15	4.8	0	7.91	2.49	0	3.63	2.31	7.62	11.97	5.78	6.59	4.24	3.01	10	9.3	9.27	4.67	7.98	14.57	4.7	6.72	16.07	7.65	11.48	15.05	10.14	9.91	11.12	5.39	8.73	10.99	12.49	7.88	7.21
Pkd1	0.94	1.04	1.88	1.53	0	1.25	1.25	0	0	1.15	3.59	0	0	3.29	0	0	1.67	1.63	1.83	0.93	0.89	3.08	0.78	5.5	3.1	1.64	2.42	2.94	0.78	2.36	3.07	1.35	3.08	0.92	4.68	4.34	1.18
Nthl1	0.42	2.54	2.92	5.67	15.72	4.44	0	0	4.24	2.31	3.14	3.26	1.45	9.88	7.64	3.01	4.05	5.4	6.7	8.41	7.09	4.69	6.26	3.05	4.41	3.28	1.81	7.3	0.78	5.19	4.49	6.74	8.73	6.18	6.25	5.52	8.97
Nthl1	0	0	0.1	0	0	0.14	0	0	0	0	0.9	0	0	0	0	0	0.6	0.38	0.28	0	0	0.14	0.78	0.61	0.34	0	1.81	0.18	0	0.47	0.35	1.35	0.51	0	0	0.39	0.15
Sepx1	11.23	18.06	26.77	29.24	39.31	31.23	20.57	9.97	21.79	36.95	40.36	48.95	37.58	46.12	34.8	39.11	33.82	34.17	25.14	43.94	39.01	20.38	48.53	38.48	16.48	24.6	24.17	17.18	42.89	33.05	19.87	52.57	23.63	18.44	56.21	28.78	27.51
ENSMUST00000101800	5.04	3.13	7.81	7.09	0	10.69	12.47	7.97	5.45	11.55	9.87	11.97	10.12	6.59	8.49	6.02	14.65	13.32	10	10.28	10.64	7.49	16.44	16.49	7.45	15.85	10.87	5.52	11.7	8.5	6.5	9.44	6.68	7.79	23.42	9.46	6.62
ENSMUST00000101800	56.36	110.28	188.67	164.09	102.19	249.84	218.82	257.16	145.3	389.16	379.87	657.05	182.12	622.56	218.13	400.1	301.86	311.15	190.29	473.01	446.9	114.93	431.33	320.65	112.33	413.81	253.74	83.33	423.44	249.74	122.27	446.21	148.48	100.1	501.21	183.71	134.44
Sepx1	0.31	0.3	0.31	0.87	0	0.69	0.62	0	0.61	0	0.45	0	2.89	0	0.85	0	1.07	0.5	0.18	0	0	0.49	0.78	0	0.41	1.09	0.6	0.27	0	0.94	0	1.35	3.08	0.46	1.56	0.79	0.29
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fahd1	0.63	0.6	1.04	2.51	0	2.91	0.62	1.99	1.82	2.31	2.24	8.7	4.34	9.88	4.24	15.04	3.81	4.9	5.78	2.8	0.89	4.34	2.35	1.83	3.45	1.09	2.42	2.31	1.56	5.19	4.02	2.7	4.62	4.01	6.25	4.73	3.68
Fahd1	0	0	0.21	0.65	0	0.56	0	0	1.21	1.15	1.35	0	1.45	0	0.85	0	1.43	2.01	1.01	0	0	1.33	0.78	0	1.17	1.09	2.42	1.51	1.56	0.94	2.01	1.35	2.06	2.06	3.12	2.37	2.21
Fahd1	0.1	0.3	0.1	0.76	0	1.11	0	0	0.61	0	1.79	2.18	0	0	0	3.01	2.02	3.14	2.94	0.93	5.32	3.01	3.91	4.28	2.28	3.28	3.02	2.76	1.56	4.72	2.84	4.04	2.06	2.86	3.12	0.39	1.77
Hagh	0.1	0.45	0.73	0.33	7.86	0.69	0.62	0	0.61	0	0.45	1.09	0	0	0.85	6.02	0.71	0.5	0.73	0	0	0.56	1.57	1.22	0.48	0	0.6	0.36	0	0.47	0.59	1.35	0.51	0.69	1.56	0.79	0.15
Hagh	4.41	11.49	21.15	15.49	7.86	38.17	26.18	15.95	14.53	10.39	35.43	38.07	27.46	13.18	34.8	12.03	30.01	30.27	30	39.26	37.24	31.1	52.45	40.31	31.24	33.35	35.64	30.89	33.53	40.13	38.9	47.18	24.66	30.47	37.47	24.84	36.48
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56	0	0
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hagh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps34	21.2	28.2	26.15	32.95	47.17	48.72	19.95	17.94	25.43	47.35	45.75	36.99	36.14	56	55.17	54.15	41.44	43.46	39.36	54.22	48.77	38.66	36.79	58.02	38.06	41.55	44.71	38.99	49.13	46.74	53.09	43.14	49.32	52.57	31.23	47.7	69.43
Mrps34	0.1	0	0	0.11	0	0.14	0	0	0	0	0	0	0	3.29	0	0	0	0	0.09	0	0	0	0	0	0.14	0	0	0.18	0	0.47	0	0	0	0.11	0	0	0
Nme3	5.25	5.22	5.83	15.27	15.72	29.84	9.35	7.97	6.66	18.48	24.67	25.02	15.9	56	14.43	39.11	32.27	32.66	44.41	21.5	23.05	30.96	20.35	34.2	34.96	20.23	22.96	27.6	16.38	29.74	35.71	21.57	32.88	34.47	26.54	21.68	31.92
Nme3	0	0	0	0.11	0	0.14	0	0	0.61	0	0	1.09	0	0	0	0	0.24	0.25	0.18	0	0	0.14	0	0	0.14	0	0	0.18	0.78	0	0.47	0	0	0.11	1.56	0.39	0.29
Nme3	0	0	0	0.11	0	0	0	0	0.61	0	0	0	0	0	0	0	0.12	0.25	0.37	0	0	0.42	0	0	0.34	0	0	0.36	0	0	0.12	0	0	0.34	0	0.79	0.44
Ift140	0.21	0.15	0.52	0.33	0	0.83	0	0	0	0	0.45	0	1.45	0	0	3.01	0.48	0.5	0.92	0	0.89	1.12	0.78	0.61	0.83	1.09	0.6	1.34	0.78	0.47	0.24	2.7	0.51	1.03	1.56	1.97	1.18
Ift140	2.2	6.27	8.54	11.35	0	10.97	3.74	5.98	4.24	13.86	10.32	21.76	11.56	16.47	11.03	12.03	20.24	21.61	29.91	14.02	15.96	22.62	15.66	17.1	20.76	9.84	18.12	11.4	13.26	18.88	9.1	5.39	14.39	11.45	12.49	13.01	8.83
Ift140	0	0	0.21	0.11	0	0	0	0	0	0	0	1.09	0	0	0	0	0.12	0.25	0	0	0	0.07	0.78	0	0.14	0.55	0	0	0	0.47	0	0	0	0.11	0	0	0
Ift140	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift140	0	0	0	0	0	0	0	1.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn7	81.75	97	65.42	57.61	31.44	43.17	61.72	67.78	76.89	101.62	52.92	72.88	53.48	82.35	69.6	51.14	48.82	54.27	44.59	59.83	42.56	41.67	62.63	49.47	45.51	62.32	47.73	46.29	38.21	42.02	44.34	44.49	49.83	42.38	42.16	38.24	43.39
Clcn7	139.79	98.04	55.53	24.55	7.86	11.24	104.73	153.5	113.82	175.53	40.36	63.09	89.62	26.35	61.11	42.12	11.79	13.44	8.26	44.87	15.96	7.98	36.79	16.49	8.76	29.52	19.33	6.85	24.95	12.27	8.04	33.7	7.19	8.93	23.42	9.07	9.41
Clcn7	0.52	0.45	0.83	0.33	0	0.14	1.87	0	0.61	1.15	0	5.44	0	6.59	0.85	0	0.12	0	0	1.87	0	0	0	0	0	0.55	0	0	0	0	0.12	1.35	0	0	0	0	0
Clcn7	0.73	2.84	1.88	0.76	0	0.28	1.25	0	0	1.15	0.45	1.09	1.45	0	2.55	3.01	0.6	0.25	0.37	1.87	1.77	0.14	0.78	0	0.14	0	0.6	0	1.56	0	0.12	1.35	0.51	0.34	0	0.39	0.74
Clcn7	8.08	7.16	4.58	0.44	0	0	32.42	39.87	29.06	41.57	6.28	18.49	23.13	0	18.67	0	1.43	0.38	0	6.54	0.89	0.07	5.48	0	0	2.19	0	0	2.34	0	0.12	4.04	0	0.11	0	0.39	0.88
Clcn7	4.09	0.75	0.63	0.11	0	0	11.22	15.95	26.64	17.32	6.28	3.26	13.01	0	10.19	0	0.12	0	0	0	0.89	0.07	0	0	0	0.55	0	0	0.78	0.47	0	0	0	0.11	1.56	0	0.15
Clcn7	0.84	0.45	0.52	0.55	0	0.14	0.62	0	2.42	2.31	0	3.26	0	0	4.24	0	0.6	0.25	0.28	1.87	0.89	0.21	0.78	0.61	0.34	1.09	0	0.53	0.78	0.47	0.12	0	0	0.23	1.56	0.79	0.15
Clcn7	1.57	0.75	0.73	0.98	0	0.14	1.87	1.99	0	2.31	0.9	1.09	1.45	3.29	4.24	0	0.95	1.38	0.73	0	2.66	0.77	1.57	1.22	0.69	1.64	1.21	0.62	0.78	0.94	0.47	0	1.54	0.69	1.56	0	1.03
Unkl	4.83	5.52	3.23	4.04	7.86	6.25	3.74	5.98	3.63	6.93	6.73	5.44	4.34	6.59	0.85	24.07	8.93	9.3	8.62	7.48	12.41	9.53	8.61	7.33	9.24	3.28	10.27	9.61	4.68	6.14	6.62	4.04	3.6	7.44	1.56	6.31	5.88
Lmf1	17.84	22.98	27.29	30.77	15.72	26.23	31.17	19.93	19.98	43.88	38.57	58.74	53.48	65.88	51.77	63.17	37.03	34.54	40.37	34.59	32.81	34.53	39.92	29.32	32.82	38.27	40.48	25.91	37.43	30.21	26.72	37.75	27.23	28.75	32.79	21.29	20.74
Rpusd1	3.36	4.92	6.25	6.11	0	9.44	0.62	1.99	7.26	13.86	5.38	7.61	7.23	13.18	11.03	9.02	9.88	11.43	12.39	5.61	7.98	12.68	5.48	7.33	10.55	7.65	6.65	10.06	5.46	12.27	9.58	6.74	10.28	9.96	3.12	12.22	10.3
Narfl	0.1	0.75	0.42	0.44	0	0.42	0	0	1.21	2.31	0.45	0	1.45	0	0	3.01	0.12	0.38	0.46	0	0.89	0.21	0	0	0.21	0.55	0.6	0.09	0.78	0	0.12	0	0.51	0.34	0	0	0.29
Narfl	23.61	23.73	29.59	32.73	7.86	34.84	14.96	11.96	13.32	32.33	32.74	40.25	21.68	42.82	34.8	33.09	39.77	43.97	40.28	33.65	24.83	39.22	37.58	38.48	37.51	48.1	36.25	32.23	29.63	39.18	38.67	40.44	33.39	33.21	18.74	38.24	38.24
Haghl	0.1	0.75	0.31	0.65	0	0.42	0	0	0	0	0.45	1.09	1.45	0	1.7	0	0.6	0.75	0	0	0.89	0.63	0.78	1.22	0.28	0.55	0.6	0.8	0	0.47	0.59	0	0.51	0.69	0	1.18	0.29
Haghl	3.78	13.88	19.48	21.28	7.86	27.48	10.6	17.94	12.71	26.56	24.67	63.09	20.24	42.82	39.89	45.12	31.56	34.42	32.75	41.13	31.92	29.14	48.53	26.87	27.38	35.53	26.58	23.95	38.21	23.13	28.97	36.4	27.23	23.48	35.91	31.14	37.51
Fam173a	20.04	29.7	32.19	33.39	31.44	47.89	35.53	23.92	23.61	41.57	38.12	42.43	44.81	46.12	48.38	51.14	35.13	44.72	39.82	45.81	51.43	37.26	44.62	47.03	40	45.37	44.1	36.77	44.45	39.18	49.19	40.44	51.38	49.02	56.21	40.6	49.42
Fam173a	11.12	16.56	17.4	24.98	7.86	31.51	9.35	3.99	11.5	19.63	18.84	18.49	39.03	23.06	26.31	15.04	18.22	18.84	23.4	27.11	30.15	18.77	24.27	23.82	20.14	10.39	19.94	18.07	14.82	21.72	24.59	16.18	29.8	25.43	21.86	19.32	26.48
Wdr24	1.47	1.64	1.67	1.09	0	1.67	1.87	0	0.61	1.15	0.9	1.09	0	6.59	0	3.01	1.07	1.51	0.83	0	0.89	1.89	1.57	2.44	1.59	0	4.23	1.87	1.56	2.83	1.42	0	1.03	1.03	0	1.18	1.03
Wdr24	11.65	13.28	14.48	20.08	7.86	14.99	9.97	3.99	10.29	31.18	21.08	26.11	21.68	26.35	27.16	27.07	22.86	27.38	25.32	22.44	44.34	27.24	17.22	37.26	27.1	21.87	33.23	28.93	31.19	33.99	21.52	21.57	25.17	18.44	45.28	23.65	18.97
Jmjd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jmjd8	9.34	8.06	13.65	17.46	23.58	16.93	7.48	15.95	6.05	27.71	13.9	33.72	15.9	52.7	21.22	30.08	20.36	21.98	25.41	14.96	20.39	21.01	18.79	18.32	21.1	24.05	22.96	17.8	20.28	19.83	15.73	21.57	23.12	15.23	32.79	29.17	21.48
Rhot2	0	0.15	0	0	0	0	0	0	0	0	0	0	0	3.29	0	0	0	0.13	0	0	0	0	0	0.61	0	0	0	0	0	0	0.35	0	0	0	0	0	0
Rhot2	0.42	0.3	0.73	0.44	0	0.83	0.62	0	0.61	1.15	0.45	0	0	3.29	0	0	0.24	0.88	0.92	0.93	0	1.12	0.78	0	0.76	1.09	0.6	1.34	0	0.94	0.95	0	1.03	0.92	1.56	1.18	1.03
Rhot2	0.31	0.45	0.63	0.98	0	0.42	0	0	0.61	0	0	0	1.45	0	0	0	0.83	0.5	0.18	0	0.89	0.35	1.57	0.61	0.48	0.55	1.21	0.53	0.78	1.42	1.06	1.35	1.03	0.69	0	0.79	0.59
Rhot2	1.89	3.43	3.23	3.05	15.72	2.64	0	3.99	1.21	3.46	4.48	0	1.45	3.29	0.85	0	4.29	2.26	3.21	2.8	1.77	3.22	1.57	4.89	2.21	4.37	3.02	3.29	4.68	2.36	2.36	4.04	5.14	2.06	7.81	1.97	1.62
Fam195a	0.1	0.3	0.21	0.44	0	0.42	0	0	0.61	0	0.45	0	0	0	0.85	0	0.48	0.5	0.37	0	0.89	0.07	0	0	0.76	0.55	0.6	1.16	0	0	0.95	0	0.51	1.15	1.56	0.79	1.18
Fam195a	1.05	4.03	4.48	3.71	0	7.77	1.25	1.99	2.42	1.15	5.83	4.35	2.89	3.29	5.94	6.02	6.07	6.16	4.77	3.74	7.09	4.83	7.83	7.94	6.07	5.47	6.65	6.68	7.02	2.83	6.86	6.74	6.68	6.18	6.25	4.73	5.74
0610011F06Rik	6.51	2.69	6.35	10.47	15.72	14.99	15.59	9.97	4.84	15.01	18.84	27.2	14.45	16.47	30.56	12.03	16.43	21.48	21.29	17.76	20.39	19.89	18.79	28.1	21.72	22.41	24.77	19.14	21.06	23.6	20.57	28.31	15.93	17.29	24.98	14.59	21.77
Rab40c	3.78	2.24	3.02	3.38	0	9.85	3.12	3.99	6.05	4.62	4.93	2.18	5.78	0	4.24	0	8.22	9.67	10	1.87	5.32	10.51	7.05	7.33	9.1	5.47	8.46	8.64	6.24	8.03	9.58	8.09	7.71	10.99	7.81	4.34	11.62
Pigq	0.21	1.64	0.63	0.55	0	0.42	1.87	0	1.21	0	0.45	0	0	0	0	0	0.6	0.38	1.1	0	0.89	0.49	0	1.22	1.24	1.09	1.21	0.8	1.56	1.42	0.47	0	1.54	0.69	3.12	2.37	0.29
Pigq	21.62	29.25	31.05	14.73	0	28.18	18.7	9.97	9.08	15.01	26.01	18.49	17.35	3.29	16.98	24.07	23.22	25	24.59	26.17	25.71	28.37	23.48	32.98	29.93	21.87	26.58	36.59	29.63	31.63	35.12	33.7	21.06	31.73	17.18	15.37	26.92
Pigq	0.1	0.45	0	0.11	0	0.14	0	0	0	0	0.45	0	0	0	0	0	0.12	0.13	0.28	0	0	0.63	0.78	0.61	0.41	0	0.6	0	0	0	0.24	0	0	0	0	0	0.15
Pigq	0	0	0.1	0	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0.13	0.09	0	2.66	0.07	0	0	0.07	0	0.6	0	0	0.47	0	0	0.51	0.11	0	0.39	0
Solh	0.21	0	0.21	0	0	0.28	0	0	0	0	0.45	0	0	0	0	0	0.48	0.25	0.09	0.93	0.89	0.42	0	0	0.14	0	0.6	0.36	0.78	0	0.35	0	0	0.23	0	0	0
Solh	6.51	7.61	9.9	10.04	7.86	13.05	5.61	17.94	7.26	8.08	19.28	5.44	8.67	19.76	5.94	12.03	17.62	18.97	18.53	26.17	22.17	21.92	23.48	20.16	21.31	20.77	29	18.61	17.94	18.88	16.32	18.87	17.98	15.81	14.05	23.26	16.33
Solh	0.42	0.3	0.52	0.33	0	0.42	1.25	0	0	0	0.9	0	0	0	2.55	3.01	0.36	0	0.55	0.93	0.89	0.28	0.78	0	0.48	0	0.6	0.45	0	0.47	0.71	1.35	0.51	1.26	0	0.79	0.59
Decr2	0	0.15	0	0.22	0	0.14	0	0	0	0	0	0	1.45	0	0	0	0.36	0.13	0.18	0	0	0.42	0	0.61	0.07	0.55	0	0	0	0	0.24	0	0	0.11	0	0.39	0.44
